,playerid,Name,Position(s),Team,Salary,dollar_value,Surplus,Values,Adjusted,Overall_Value,R,HR,RBI,SB,ex_AVE,K,W,SV,ex_WHIP,ex_ERA,Group,Tier,Stuff+,brl_percent,brl_percentile,whiff_percent
2976,sa3019886,None,Not Available,FA,0.0,0.0,0.0,-1.6410029469279297,0.0,0.0,0.0719,0.0126,0.0653,0.0135,-0.10798360000000001,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2977,sa3021132,None,Not Available,FA,0.0,0.0,0.0,-1.640974843360031,0.0,0.0,0.07050000000000001,0.019200000000000002,0.0741,0.0083,-0.10927270000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2978,sa3016154,None,Not Available,FA,0.0,0.0,0.0,-1.6409718057501732,0.0,0.0,0.0724,0.0173,0.0721,0.0094,-0.10887980000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2979,sa3021164,None,Not Available,FA,0.0,0.0,0.0,-1.6409707857725366,0.0,0.0,0.065,0.0108,0.067,0.0105,-0.101416,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2980,sa3008806,None,Not Available,FA,0.0,0.0,0.0,-1.6409597978953743,0.0,0.0,0.0687,0.013900000000000001,0.0695,0.011,-0.10619940000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2981,sa3021107,None,Not Available,FA,0.0,0.0,0.0,-1.6409575744112685,0.0,0.0,0.07,0.0102,0.0639,0.01,-0.10069290000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2982,sa3010720,None,Not Available,FA,0.0,0.0,0.0,-1.6360825491288653,0.0,0.0,0.08560000000000001,0.013900000000000001,0.0743,0.011600000000000001,-0.08911210000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2983,sa3018575,None,Not Available,FA,0.0,0.0,0.0,-1.6410748285950283,0.0,0.0,0.0698,0.0122,0.0665,0.009300000000000001,-0.10276190000000004,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2984,sa3018545,None,Not Available,FA,0.0,0.0,0.0,-1.6411605950175288,0.0,0.0,0.0716,0.013000000000000001,0.06960000000000001,0.0102,-0.1061591,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2985,sa3006578,None,Not Available,FA,0.0,0.0,0.0,-1.6377721470413615,0.0,0.0,0.074,0.0095,0.06760000000000001,0.012100000000000001,-0.08935940000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
